"Fradato";"Tildato";"Forbrug i kroner"
"=""07-01-2024 22:00""";"=""07-01-2024 23:00""";"0,74 kr."
"=""07-01-2024 23:00""";"=""08-01-2024 00:00""";"0,59 kr."
"=""08-01-2024 00:00""";"=""08-01-2024 01:00""";"0,33 kr."
"=""08-01-2024 01:00""";"=""08-01-2024 02:00""";"0,39 kr."
"=""08-01-2024 02:00""";"=""08-01-2024 03:00""";"0,34 kr."
"=""08-01-2024 03:00""";"=""08-01-2024 04:00""";"0,38 kr."
"=""08-01-2024 04:00""";"=""08-01-2024 05:00""";"0,36 kr."
"=""08-01-2024 05:00""";"=""08-01-2024 06:00""";"0,39 kr."
"=""08-01-2024 06:00""";"=""08-01-2024 07:00""";"0,57 kr."
"=""08-01-2024 07:00""";"=""08-01-2024 08:00""";"0,74 kr."
"=""08-01-2024 08:00""";"=""08-01-2024 09:00""";"0,48 kr."
"=""08-01-2024 09:00""";"=""08-01-2024 10:00""";"0,42 kr."
"=""08-01-2024 10:00""";"=""08-01-2024 11:00""";"0,61 kr."
"=""08-01-2024 11:00""";"=""08-01-2024 12:00""";"0,59 kr."
"=""08-01-2024 12:00""";"=""08-01-2024 13:00""";"0,91 kr."
"=""08-01-2024 13:00""";"=""08-01-2024 14:00""";"0,95 kr."
"=""08-01-2024 14:00""";"=""08-01-2024 15:00""";"0,74 kr."
"=""08-01-2024 15:00""";"=""08-01-2024 16:00""";"0,82 kr."
"=""08-01-2024 16:00""";"=""08-01-2024 17:00""";"0,81 kr."
"=""08-01-2024 17:00""";"=""08-01-2024 18:00""";"9,18 kr."
"=""08-01-2024 18:00""";"=""08-01-2024 19:00""";"21,35 kr."
"=""08-01-2024 19:00""";"=""08-01-2024 20:00""";"0,94 kr."
"=""08-01-2024 20:00""";"=""08-01-2024 21:00""";"0,88 kr."
"=""08-01-2024 21:00""";"=""08-01-2024 22:00""";"0,72 kr."
"=""08-01-2024 22:00""";"=""08-01-2024 23:00""";"0,74 kr."
"=""08-01-2024 23:00""";"=""09-01-2024 00:00""";"0,54 kr."
"=""09-01-2024 00:00""";"=""09-01-2024 01:00""";"0,38 kr."
"=""09-01-2024 01:00""";"=""09-01-2024 02:00""";"11,52 kr."
"=""09-01-2024 02:00""";"=""09-01-2024 03:00""";"23,83 kr."
"=""09-01-2024 03:00""";"=""09-01-2024 04:00""";"23,65 kr."
"=""09-01-2024 04:00""";"=""09-01-2024 05:00""";"23,90 kr."
"=""09-01-2024 05:00""";"=""09-01-2024 06:00""";"24,26 kr."
"=""09-01-2024 06:00""";"=""09-01-2024 07:00""";"0,41 kr."
"=""09-01-2024 07:00""";"=""09-01-2024 08:00""";"0,88 kr."
"=""09-01-2024 08:00""";"=""09-01-2024 09:00""";"0,47 kr."
"=""09-01-2024 09:00""";"=""09-01-2024 10:00""";"0,62 kr."
"=""09-01-2024 10:00""";"=""09-01-2024 11:00""";"0,58 kr."
"=""09-01-2024 11:00""";"=""09-01-2024 12:00""";"0,51 kr."
"=""09-01-2024 12:00""";"=""09-01-2024 13:00""";"0,53 kr."
"=""09-01-2024 13:00""";"=""09-01-2024 14:00""";"0,58 kr."
"=""09-01-2024 14:00""";"=""09-01-2024 15:00""";"0,77 kr."
"=""09-01-2024 15:00""";"=""09-01-2024 16:00""";"0,65 kr."
"=""09-01-2024 16:00""";"=""09-01-2024 17:00""";"0,93 kr."
"=""09-01-2024 17:00""";"=""09-01-2024 18:00""";"2,80 kr."
"=""09-01-2024 18:00""";"=""09-01-2024 19:00""";"5,95 kr."
"=""09-01-2024 19:00""";"=""09-01-2024 20:00""";"1,61 kr."
"=""09-01-2024 20:00""";"=""09-01-2024 21:00""";"1,27 kr."
"=""09-01-2024 21:00""";"=""09-01-2024 22:00""";"3,07 kr."
"=""09-01-2024 22:00""";"=""09-01-2024 23:00""";"1,10 kr."
"=""09-01-2024 23:00""";"=""10-01-2024 00:00""";"0,78 kr."
"=""10-01-2024 00:00""";"=""10-01-2024 01:00""";"0,31 kr."
"=""10-01-2024 01:00""";"=""10-01-2024 02:00""";"0,26 kr."
"=""10-01-2024 02:00""";"=""10-01-2024 03:00""";"0,26 kr."
"=""10-01-2024 03:00""";"=""10-01-2024 04:00""";"0,24 kr."
"=""10-01-2024 04:00""";"=""10-01-2024 05:00""";"0,33 kr."
"=""10-01-2024 05:00""";"=""10-01-2024 06:00""";"0,29 kr."
"=""10-01-2024 06:00""";"=""10-01-2024 07:00""";"0,46 kr."
"=""10-01-2024 07:00""";"=""10-01-2024 08:00""";"0,96 kr."
"=""10-01-2024 08:00""";"=""10-01-2024 09:00""";"0,61 kr."
"=""10-01-2024 09:00""";"=""10-01-2024 10:00""";"0,76 kr."
"=""10-01-2024 10:00""";"=""10-01-2024 11:00""";"0,65 kr."
"=""10-01-2024 11:00""";"=""10-01-2024 12:00""";"1,55 kr."
"=""10-01-2024 12:00""";"=""10-01-2024 13:00""";"4,32 kr."
"=""10-01-2024 13:00""";"=""10-01-2024 14:00""";"2,97 kr."
"=""10-01-2024 14:00""";"=""10-01-2024 15:00""";"3,00 kr."
"=""10-01-2024 15:00""";"=""10-01-2024 16:00""";"3,05 kr."
"=""10-01-2024 16:00""";"=""10-01-2024 17:00""";"3,42 kr."
"=""10-01-2024 17:00""";"=""10-01-2024 18:00""";"3,71 kr."
"=""10-01-2024 18:00""";"=""10-01-2024 19:00""";"2,58 kr."
"=""10-01-2024 19:00""";"=""10-01-2024 20:00""";"0,96 kr."
"=""10-01-2024 20:00""";"=""10-01-2024 21:00""";"1,04 kr."
"=""10-01-2024 21:00""";"=""10-01-2024 22:00""";"1,71 kr."
"=""10-01-2024 22:00""";"=""10-01-2024 23:00""";"1,82 kr."
"=""10-01-2024 23:00""";"=""11-01-2024 00:00""";"1,24 kr."
"=""11-01-2024 00:00""";"=""11-01-2024 01:00""";"0,25 kr."
"=""11-01-2024 01:00""";"=""11-01-2024 02:00""";"0,31 kr."
"=""11-01-2024 02:00""";"=""11-01-2024 03:00""";"0,24 kr."
"=""11-01-2024 03:00""";"=""11-01-2024 04:00""";"0,30 kr."
"=""11-01-2024 04:00""";"=""11-01-2024 05:00""";"0,26 kr."
"=""11-01-2024 05:00""";"=""11-01-2024 06:00""";"0,31 kr."
"=""11-01-2024 06:00""";"=""11-01-2024 07:00""";"0,42 kr."
