Fradato;Tildato;Forbrug i kroner
12-05-2023 10:00;12-05-2023 11:00;0,32 kr.
12-05-2023 11:00;12-05-2023 12:00;0,28 kr.
12-05-2023 12:00;12-05-2023 13:00;0,25 kr.
12-05-2023 13:00;12-05-2023 14:00;0,84 kr.
12-05-2023 14:00;12-05-2023 15:00;0,52 kr.
12-05-2023 15:00;12-05-2023 16:00;0,20 kr.
12-05-2023 16:00;12-05-2023 17:00;0,17 kr.
12-05-2023 17:00;12-05-2023 18:00;0,30 kr.
12-05-2023 18:00;12-05-2023 19:00;0,31 kr.
12-05-2023 19:00;12-05-2023 20:00;0,28 kr.
12-05-2023 20:00;12-05-2023 21:00;0,95 kr.
12-05-2023 21:00;12-05-2023 22:00;0,31 kr.
12-05-2023 22:00;12-05-2023 23:00;0,30 kr.
12-05-2023 23:00;13-05-2023 00:00;0,25 kr.
13-05-2023 00:00;13-05-2023 01:00;0,31 kr.
13-05-2023 01:00;13-05-2023 02:00;0,19 kr.
13-05-2023 02:00;13-05-2023 03:00;0,16 kr.
13-05-2023 03:00;13-05-2023 04:00;0,22 kr.
13-05-2023 04:00;13-05-2023 05:00;0,22 kr.
13-05-2023 05:00;13-05-2023 06:00;0,23 kr.
13-05-2023 06:00;13-05-2023 07:00;0,15 kr.
13-05-2023 07:00;13-05-2023 08:00;0,16 kr.
13-05-2023 08:00;13-05-2023 09:00;0,16 kr.
13-05-2023 09:00;13-05-2023 10:00;0,17 kr.
13-05-2023 10:00;13-05-2023 11:00;0,15 kr.
13-05-2023 11:00;13-05-2023 12:00;0,12 kr.
13-05-2023 12:00;13-05-2023 13:00;0,19 kr.
13-05-2023 13:00;13-05-2023 14:00;0,11 kr.
13-05-2023 14:00;13-05-2023 15:00;0,12 kr.
13-05-2023 15:00;13-05-2023 16:00;0,09 kr.
13-05-2023 16:00;13-05-2023 17:00;0,11 kr.
13-05-2023 17:00;13-05-2023 18:00;0,29 kr.
13-05-2023 18:00;13-05-2023 19:00;0,34 kr.
13-05-2023 19:00;13-05-2023 20:00;0,30 kr.
13-05-2023 20:00;13-05-2023 21:00;0,82 kr.
13-05-2023 21:00;13-05-2023 22:00;0,31 kr.
13-05-2023 22:00;13-05-2023 23:00;0,40 kr.
13-05-2023 23:00;14-05-2023 00:00;0,36 kr.
14-05-2023 00:00;14-05-2023 01:00;0,21 kr.
14-05-2023 01:00;14-05-2023 02:00;0,17 kr.
14-05-2023 02:00;14-05-2023 03:00;0,16 kr.
14-05-2023 03:00;14-05-2023 04:00;0,11 kr.
14-05-2023 04:00;14-05-2023 05:00;0,14 kr.
14-05-2023 05:00;14-05-2023 06:00;0,19 kr.
14-05-2023 06:00;14-05-2023 07:00;0,15 kr.
14-05-2023 07:00;14-05-2023 08:00;0,16 kr.
14-05-2023 08:00;14-05-2023 09:00;0,17 kr.
14-05-2023 09:00;14-05-2023 10:00;2,07 kr.
14-05-2023 10:00;14-05-2023 11:00;1,23 kr.
14-05-2023 11:00;14-05-2023 12:00;0,96 kr.
14-05-2023 12:00;14-05-2023 13:00;0,34 kr.
14-05-2023 13:00;14-05-2023 14:00;0,21 kr.
14-05-2023 14:00;14-05-2023 15:00;0,12 kr.
14-05-2023 15:00;14-05-2023 16:00;0,11 kr.
14-05-2023 16:00;14-05-2023 17:00;0,15 kr.
14-05-2023 17:00;14-05-2023 18:00;0,50 kr.
14-05-2023 18:00;14-05-2023 19:00;0,62 kr.
14-05-2023 19:00;14-05-2023 20:00;0,48 kr.
14-05-2023 20:00;14-05-2023 21:00;0,79 kr.
14-05-2023 21:00;14-05-2023 22:00;0,44 kr.
14-05-2023 22:00;14-05-2023 23:00;0,39 kr.
14-05-2023 23:00;15-05-2023 00:00;0,24 kr.
15-05-2023 00:00;15-05-2023 01:00;0,22 kr.
15-05-2023 01:00;15-05-2023 02:00;0,19 kr.
15-05-2023 02:00;15-05-2023 03:00;0,16 kr.
15-05-2023 03:00;15-05-2023 04:00;0,20 kr.
15-05-2023 04:00;15-05-2023 05:00;0,19 kr.
15-05-2023 05:00;15-05-2023 06:00;0,21 kr.
15-05-2023 06:00;15-05-2023 07:00;0,28 kr.
15-05-2023 07:00;15-05-2023 08:00;0,53 kr.
15-05-2023 08:00;15-05-2023 09:00;0,51 kr.
15-05-2023 09:00;15-05-2023 10:00;0,38 kr.
15-05-2023 10:00;15-05-2023 11:00;0,22 kr.
15-05-2023 11:00;15-05-2023 12:00;0,45 kr.
15-05-2023 12:00;15-05-2023 13:00;0,35 kr.
15-05-2023 13:00;15-05-2023 14:00;0,48 kr.
15-05-2023 14:00;15-05-2023 15:00;0,35 kr.
15-05-2023 15:00;15-05-2023 16:00;0,28 kr.
15-05-2023 16:00;15-05-2023 17:00;0,31 kr.
15-05-2023 17:00;15-05-2023 18:00;0,47 kr.
15-05-2023 18:00;15-05-2023 19:00;0,55 kr.
15-05-2023 19:00;15-05-2023 20:00;0,50 kr.
15-05-2023 20:00;15-05-2023 21:00;0,49 kr.
15-05-2023 21:00;15-05-2023 22:00;0,57 kr.
15-05-2023 22:00;15-05-2023 23:00;1,13 kr.
15-05-2023 23:00;16-05-2023 00:00;0,81 kr.
16-05-2023 00:00;16-05-2023 01:00;0,15 kr.
16-05-2023 01:00;16-05-2023 02:00;0,10 kr.
16-05-2023 02:00;16-05-2023 03:00;0,18 kr.
16-05-2023 03:00;16-05-2023 04:00;0,10 kr.
16-05-2023 04:00;16-05-2023 05:00;0,12 kr.
16-05-2023 05:00;16-05-2023 06:00;0,17 kr.
16-05-2023 06:00;16-05-2023 07:00;0,19 kr.
16-05-2023 07:00;16-05-2023 08:00;0,73 kr.
16-05-2023 08:00;16-05-2023 09:00;0,91 kr.
16-05-2023 09:00;16-05-2023 10:00;0,44 kr.
16-05-2023 10:00;16-05-2023 11:00;0,22 kr.
16-05-2023 11:00;16-05-2023 12:00;0,18 kr.
16-05-2023 12:00;16-05-2023 13:00;0,10 kr.
16-05-2023 13:00;16-05-2023 14:00;0,26 kr.
16-05-2023 14:00;16-05-2023 15:00;0,27 kr.
16-05-2023 15:00;16-05-2023 16:00;0,16 kr.
16-05-2023 16:00;16-05-2023 17:00;0,23 kr.
16-05-2023 17:00;16-05-2023 18:00;0,63 kr.
16-05-2023 18:00;16-05-2023 19:00;0,46 kr.
16-05-2023 19:00;16-05-2023 20:00;0,41 kr.
16-05-2023 20:00;16-05-2023 21:00;0,32 kr.
16-05-2023 21:00;16-05-2023 22:00;0,22 kr.
16-05-2023 22:00;16-05-2023 23:00;0,15 kr.
16-05-2023 23:00;17-05-2023 00:00;0,11 kr.
17-05-2023 00:00;17-05-2023 01:00;0,07 kr.
17-05-2023 01:00;17-05-2023 02:00;0,07 kr.
17-05-2023 02:00;17-05-2023 03:00;0,07 kr.
17-05-2023 03:00;17-05-2023 04:00;0,08 kr.
17-05-2023 04:00;17-05-2023 05:00;0,05 kr.
17-05-2023 05:00;17-05-2023 06:00;0,08 kr.
17-05-2023 06:00;17-05-2023 07:00;0,10 kr.
17-05-2023 07:00;17-05-2023 08:00;0,62 kr.
17-05-2023 08:00;17-05-2023 09:00;0,85 kr.
17-05-2023 09:00;17-05-2023 10:00;0,17 kr.
17-05-2023 10:00;17-05-2023 11:00;0,15 kr.
17-05-2023 11:00;17-05-2023 12:00;0,15 kr.
17-05-2023 12:00;17-05-2023 13:00;0,11 kr.
17-05-2023 13:00;17-05-2023 14:00;0,09 kr.
17-05-2023 14:00;17-05-2023 15:00;0,12 kr.
17-05-2023 15:00;17-05-2023 16:00;0,13 kr.
17-05-2023 16:00;17-05-2023 17:00;0,13 kr.
17-05-2023 17:00;17-05-2023 18:00;0,31 kr.
17-05-2023 18:00;17-05-2023 19:00;0,36 kr.
